Name	Egg Group 1	Egg Group 2	Ability 1	Ability 2	Hidden Ability	Male Ratio	Female Ratio	OffspringSpecies
Golett	Mineral	N/A	Iron Fist	Klutz	No Guard	0	0	Golett
Golurk	Mineral	N/A	Iron Fist	Klutz	No Guard	0	0	Golett
Pawniard	Human-Like	N/A	Defiant	Inner Focus	Pressure	50.2	49.8	Pawniard
Bisharp	Human-Like	N/A	Defiant	Inner Focus	Pressure	50.2	49.8	Pawniard
Bouffalant	Field	N/A	Reckless	Sap Sipper	Soundproof	50.2	49.8	Bouffalant
Rufflet	Flying	N/A	Keen Eye	Sheer Force	Hustle	100	0	Rufflet
Braviary	Flying	N/A	Keen Eye	Sheer Force	Defiant	100	0	Rufflet
Vullaby	Flying	N/A	Big Pecks	Overcoat	Weak Armor	0	100	Vullaby
Mandibuzz	Flying	N/A	Big Pecks	Overcoat	Weak Armor	0	100	Vullaby
Heatmor	Field	N/A	Gluttony	Flash Fire	White Smoke	50.2	49.8	Heatmor
Durant	Bug	N/A	Swarm	Hustle	Truant	50.2	49.8	Durant
Deino	Dragon	N/A	Hustle	N/A	N/A	50.2	49.8	Deino
Zweilous	Dragon	N/A	Hustle	N/A	N/A	50.2	49.8	Deino
Hydreigon	Dragon	N/A	Levitate	N/A	N/A	50.2	49.8	Deino
Larvesta	Bug	N/A	Flame Body	Swarm	N/A	50.2	49.8	Larvesta
Volcarona	Bug	N/A	Flame Body	Swarm	N/A	50.2	49.8	Larvesta
Cobalion	Undiscovered	N/A	Justified	N/A	N/A	0	0	N/A
Terrakion	Undiscovered	N/A	Justified	N/A	N/A	0	0	N/A
Virizion	Undiscovered	N/A	Justified	N/A	N/A	0	0	N/A
Tornadus	Undiscovered	N/A	Prankster	Defiant	N/A	100	0	N/A
Thundurus	Undiscovered	N/A	Prankster	Defiant	N/A	100	0	N/A
Reshiram	Undiscovered	N/A	Turboblaze	N/A	N/A	0	0	N/A
Zekrom	Undiscovered	N/A	Teravolt	N/A	N/A	0	0	N/A
Landorus	Undiscovered	N/A	Sand Force	Sheer Force	N/A	100	0	N/A
Kyurem	Undiscovered	N/A	Pressure	N/A	N/A	0	0	N/A
Keldeo	Undiscovered	N/A	Justified	N/A	N/A	0	0	N/A
Meloetta	Undiscovered	N/A	Serene Grace	N/A	N/A	0	0	N/A
Genesect	Undiscovered	N/A	Download	N/A	N/A	0	0	N/A
Chespin	Field	N/A	Overgrow	Bulletproof	N/A	88.14	11.86	Chespin
Quilladin	Field	N/A	Overgrow	Bulletproof	N/A	88.14	11.86	Chespin
Chesnaught	Field	N/A	Overgrow	Bulletproof	N/A	88.14	11.86	Chespin
Fennekin	Field	N/A	Blaze	Magician	N/A	88.14	11.86	Fennekin
Braixen	Field	N/A	Blaze	Magician	N/A	88.14	11.86	Fennekin
Delphox	Field	N/A	Blaze	Magician	N/A	88.14	11.86	Fennekin
Froakie	Water 1	N/A	Torrent	Protean	N/A	88.14	11.86	Froakie
Frogadier	Water 1	N/A	Torrent	Protean	N/A	88.14	11.86	Froakie
Greninja	Water 1	N/A	Torrent	Protean	N/A	88.14	11.86	Froakie
Bunnelby	Field	N/A	Pickup	Cheek Pouch	Huge Power	50.2	49.8	Bunnelby
Diggersby	Field	N/A	Pickup	Cheek Pouch	Huge Power	50.2	49.8	Bunnelby
Fletchling	Flying	N/A	Big Pecks	Gale Wings	N/A	50.2	49.8	Fletchling
Fletchinder	Flying	N/A	Flame Body	Gale Wings	N/A	50.2	49.8	Fletchling
Talonflame	Flying	N/A	Flame Body	Gale Wings	N/A	50.2	49.8	Fletchling
Scatterbug	Bug	N/A	Shield Dust	Compoundeyes	Friend Guard	50.2	49.8	Scatterbug
Spewpa	Bug	N/A	Shed Skin	Friend Guard	N/A	50.2	49.8	Scatterbug
Vivillon	Bug	N/A	Shield Dust	Compoundeyes	Friend Guard	50.2	49.8	Scatterbug
Litleo	Field	N/A	Rivalry	Unnerve	Moxie	11.47	88.53	Litleo
Pyroar	Field	N/A	Rivalry	Unnerve	Moxie	11.47	88.53	Litleo
Flabébé	Fairy	N/A	Flower Veil	Symbiosis	N/A	0	100	Flabébé
Floette	Fairy	N/A	Flower Veil	Symbiosis	N/A	0	100	Flabébé
Florges	Fairy	N/A	Flower Veil	Symbiosis	N/A	0	100	Flabébé
Skiddo	Field	N/A	Sap Sipper	Grass Pelt	N/A	50.2	49.8	Skiddo
Gogoat	Field	N/A	Sap Sipper	Grass Pelt	N/A	50.2	49.8	Skiddo
Pancham	Field	Human-Like	Iron Fist	Mold Breaker	Scrappy	50.2	49.8	Pancham
Pangoro	Field	Human-Like	Iron Fist	Mold Breaker	Scrappy	50.2	49.8	Pancham
Furfrou	Field	N/A	Fur Coat	N/A	N/A	50.2	49.8	Furfrou
Espurr	Field	N/A	Keen Eye	Infiltrator	Own Tempo	50.2	49.8	Espurr
Meowstic	Field	N/A	Keen Eye	Infiltrator	Prankster	50.2	49.8	Espurr
Honedge	Mineral	N/A	No Guard	N/A	N/A	50.2	49.8	Honedge
Doublade	Mineral	N/A	No Guard	N/A	N/A	50.2	49.8	Honedge
Aegislash	Mineral	N/A	Stance Change	N/A	N/A	50.2	49.8	Honedge
Spritzee	Fairy	N/A	Healer	Aroma Veil	N/A	50.2	49.8	Spritzee
Aromatisse	Fairy	N/A	Healer	Aroma Veil	N/A	50.2	49.8	Spritzee
Swirlix	Fairy	N/A	Sweet Veil	Unburden	N/A	50.2	49.8	Swirlix
Slurpuff	Fairy	N/A	Sweet Veil	Unburden	N/A	50.2	49.8	Swirlix
Inkay	Water 1	Water 2	Contrary	Suction Cups	Infiltrator	50.2	49.8	Inkay
Malamar	Water 1	Water 2	Contrary	Suction Cups	Infiltrator	50.2	49.8	Inkay
Binacle	Water 3	N/A	Tough Claws	Sniper	Pickpocket	50.2	49.8	Binacle
Barbaracle	Water 3	N/A	Tough Claws	Sniper	Pickpocket	50.2	49.8	Binacle
Skrelp	Water 1	Dragon	Poison Point	Poison Touch	Adaptability	50.2	49.8	Skrelp
Dragalge	Water 1	Dragon	Poison Point	Poison Touch	Adaptability	50.2	49.8	Skrelp
Clauncher	Water 1	Water 3	Mega Launcher	N/A	N/A	50.2	49.8	Clauncher
Clawitzer	Water 1	Water 3	Mega Launcher	N/A	N/A	50.2	49.8	Clauncher
Helioptile	Monster	Dragon	Dry Skin	Sand Veil	Solar Power	50.2	49.8	Helioptile
Heliolisk	Monster	Dragon	Dry Skin	Sand Veil	Solar Power	50.2	49.8	Helioptile
Tyrunt	Monster	Dragon	Strong Jaw	Sturdy	N/A	88.14	11.86	Tyrunt
Tyrantrum	Monster	Dragon	Strong Jaw	Rock Head	N/A	88.14	11.86	Tyrunt
Amaura	Monster	N/A	Refrigerate	Snow Warning	N/A	88.14	11.86	Amaura
Aurorus	Monster	N/A	Refrigerate	Snow Warning	N/A	88.14	11.86	Amaura
Sylveon	Field	N/A	Cute Charm	Pixilate	N/A	88.14	11.86	Eevee
Hawlucha	Flying*	Human-Like	Limber	Unburden	Mold Breaker	50.2	49.8	Hawlucha
Dedenne	Field	Fairy	Cheek Pouch	Pickup	Plus	50.2	49.8	Dedenne
Carbink	Fairy	Mineral	Clear Body	Sturdy	N/A	0	0	Carbink
Goomy	Dragon	N/A	Sap Sipper	Hydration	Gooey	50.2	49.8	Goomy
Sliggoo	Dragon	N/A	Sap Sipper	Hydration	Gooey	50.2	49.8	Goomy
Goodra	Dragon	N/A	Sap Sipper	Hydration	Gooey	50.2	49.8	Goomy
Klefki	Mineral	N/A	Prankster	Magician	N/A	50.2	49.8	Klefki
Phantump	Grass	Amorphous	Natural Cure	Frisk	Harvest	50.2	49.8	Phantump
Trevenant	Grass	Amorphous	Natural Cure	Frisk	Harvest	50.2	49.8	Phantump
Pumpkaboo	Amorphous	N/A	Pickup	Frisk	Insomnia	50.2	49.8	Pumpkaboo
Gourgeist	Amorphous	N/A	Pickup	Frisk	Insomnia	50.2	49.8	Pumpkaboo
Bergmite	Monster	Mineral*	Own Tempo	Ice Body	Sturdy	50.2	49.8	Bergmite
Avalugg	Monster	Mineral*	Own Tempo	Ice Body	Sturdy	50.2	49.8	Bergmite
Noibat	Flying	Dragon*	Frisk	Infiltrator	Telepathy	50.2	49.8	Noibat
Noivern	Flying	Dragon*	Frisk	Infiltrator	Telepathy	50.2	49.8	Noibat
Xerneas	Undiscovered	N/A	Fairy Aura	N/A	N/A	0	0	N/A
Yveltal	Undiscovered	N/A	Dark Aura	N/A	N/A	0	0	N/A
Zygarde	Undiscovered	N/A	Aura Break	N/A	N/A	0	0	N/A
Diancie	Undiscovered	N/A	Clear Body	N/A	N/A	0	0	N/A
Hoopa	Undiscovered	N/A	Magician	N/A	N/A	0	0	N/A
Volcanion	Undiscovered	N/A	Water Absorb	N/A	N/A	0	0	N/A
Rowlet	Flying	N/A	Overgrow	Long Reach	N/A	88.14	11.86	Rowlet
Dartrix	Flying	N/A	Overgrow	Long Reach	N/A	88.14	11.86	Rowlet
Decidueye	Flying	N/A	Overgrow	Long Reach	N/A	88.14	11.86	Rowlet
Litten	Field	N/A	Blaze	Intimidate	N/A	88.14	11.86	Litten
Torracat	Field	N/A	Blaze	Intimidate	N/A	88.14	11.86	Litten
Incineroar	Field	N/A	Blaze	Intimidate	N/A	88.14	11.86	Litten
Popplio	Water 1	Field	Torrent	Liquid Voice	N/A	88.14	11.86	Popplio
Brionne	Water 1	Field	Torrent	Liquid Voice	N/A	88.14	11.86	Popplio
Primarina	Water 1	Field	Torrent	Liquid Voice	N/A	88.14	11.86	Popplio
Pikipek	Flying	N/A	Keen Eye	Skill Link	Pickup	50.2	49.8	Pikipek
Trumbeak	Flying	N/A	Keen Eye	Skill Link	Pickup	50.2	49.8	Pikipek
Toucannon	Flying	N/A	Keen Eye	Skill Link	Sheer Force	50.2	49.8	Pikipek
Yungoos	Field	N/A	Stakeout	Strong Jaw	Adaptability	50.2	49.8	Yungoos
Gumshoos	Field	N/A	Stakeout	Strong Jaw	Adaptability	50.2	49.8	Yungoos
Grubbin	Bug	N/A	Swarm	N/A	N/A	50.2	49.8	Grubbin
Charjabug	Bug	N/A	Battery	N/A	N/A	50.2	49.8	Grubbin
Vikavolt	Bug	N/A	Levitate	N/A	N/A	50.2	49.8	Grubbin
Crabrawler	Water 3	N/A	Hyper Cutter	Iron Fist	Anger Point	50.2	49.8	Crabrawler
Crabominable	Water 3	N/A	Hyper Cutter	Iron Fist	Anger Point	50.2	49.8	Crabrawler
Oricorio	Flying	N/A	Dancer	N/A	N/A	24.9	75.1	Crabrawler
Cutiefly	Bug	Fairy	Honey Gather	Shield Dust	Sweet Veil	50.2	49.8	Cutiefly
Ribombee	Bug	Fairy	Honey Gather	Shield Dust	Sweet Veil	50.2	49.8	Cutiefly
Rockruff	Field	N/A	Keen Eye	Vital Spirit	Steadfast	50.2	49.8	Rockruff
Lycanroc	Field	N/A	Keen Eye	Sand Rush	Steadfast	50.2	49.8	Rockruff
Wishiwashi	Water 2	N/A	Schooling	N/A	N/A	50.2	49.8	Wishiwashi
Mareanie	Water 1	N/A	Merciless	Limber	Regenerator	50.2	49.8	Mareanie
Toxapex	Water 1	N/A	Merciless	Limber	Regenerator	50.2	49.8	Mareanie
Mudbray	Field	N/A	Own Tempo	Stamina	Inner Focus	50.2	49.8	Mudbray
Mudsdale	Field	N/A	Own Tempo	Stamina	Inner Focus	50.2	49.8	Mudbray
Dewpider	Water 1	Bug	Water Bubble	Water Absorb	N/A	50.2	49.8	Dewpider
Araquanid	Water 1	Bug	Water Bubble	Water Absorb	N/A	50.2	49.8	Dewpider
Fomantis	Grass	N/A	Leaf Guard	Contrary	N/A	50.2	49.8	Fomantis
Lurantis	Grass	N/A	Leaf Guard	Contrary	N/A	50.2	49.8	Fomantis
Morelull	Grass	N/A	Illuminate	Effect Spore	Rain Dish	50.2	49.8	Morelull
Shiinotic	Grass	N/A	Illuminate	Effect Spore	Rain Dish	50.2	49.8	Morelull
Salandit	Monster	Dragon	Corrosion	Oblivious	N/A	88.14	11.86	Salandit
Salazzle	Monster	Dragon	Corrosion	Oblivious	N/A	0	100	Salandit
Stufful	Field	N/A	Fluffy	Klutz	Cute Charm	50.2	49.8	Stufful
Bewear	Field	N/A	Fluffy	Klutz	Unnerve	50.2	49.8	Stufful
Bounsweet	Grass	N/A	Leaf Guard	Oblivious	Sweet Veil	0	100	Bounsweet
Steenee	Grass	N/A	Leaf Guard	Oblivious	Sweet Veil	0	100	Bounsweet
Tsareena	Grass	N/A	Leaf Guard	Queenly Majesty	Sweet Veil	0	100	Bounsweet
Comfey	Grass	N/A	Flower Veil	Triage	Natural Cure	24.9	75.1	Comfey
Oranguru	Field	N/A	Inner Focus	Telepathy	Symbiosis	50.2	49.8	Oranguru
Passimian	Field	N/A	Receiver	Defiant	N/A	50.2	49.8	Passimian
Wimpod	Bug	Water 3	Wimp Out	N/A	N/A	50.2	49.8	Wimpod
Golisopod	Bug	Water 3	Emergency Exit	N/A	N/A	50.2	49.8	Wimpod
Sandygast	Amorphous	N/A	Water Compaction	Sand Veil	N/A	50.2	49.8	Sandygast
Palossand	Amorphous	N/A	Water Compaction	Sand Veil	N/A	50.2	49.8	Sandygast
Pyukumuku	Water 1	N/A	Innards Out	Unaware	N/A	50.2	49.8	Pyukumuku
Type: Null	Undiscovered	N/A	Battle Armor	N/A	N/A	0	0	N/A
Silvally	Undiscovered	N/A	RKS System	N/A	N/A	0	0	N/A
Minior	Mineral	N/A	Shields Down	N/A	N/A	0	0	Minior
Komala	Field	N/A	Comatose	N/A	N/A	50.2	49.8	Komala
Turtonator	Monster	Dragon	Shell Armor	N/A	N/A	50.2	49.8	Turtonator
Togedemaru	Field	Fairy	Iron Barbs	Lightning Rod	Sturdy	50.2	49.8	Togedemaru
Mimikyu	Amorphous	N/A	Disguise	N/A	N/A	50.2	49.8	Mimikyu
Bruxish	Water 2	N/A	Dazzling	Strong Jaw	Wonder Skin	50.2	49.8	Bruxish
Drampa	Monster	Dragon	Berserk	Sap Sipper	Cloud Nine	50.2	49.8	Drampa
Dhelmise	Mineral	N/A	Steelworker	N/A	N/A	0	0	Dhelmise
Jangmo-o	Dragon	N/A	Bulletproof	Soundproof	Overcoat	50.2	49.8	Jangmo-o
Hakamo-o	Dragon	N/A	Bulletproof	Soundproof	Overcoat	50.2	49.8	Jangmo-o
Kommo-o	Dragon	N/A	Bulletproof	Soundproof	Overcoat	50.2	49.8	Jangmo-o
Tapu Koko	Undiscovered	N/A	Electric Surge	Telepathy	N/A	0	0	N/A
Tapu Lele	Undiscovered	N/A	Psychic Surge	Telepathy	N/A	0	0	N/A
Tapu Bulu	Undiscovered	N/A	Grassy Surge	Telepathy	N/A	0	0	N/A
Tapu Fini	Undiscovered	N/A	Misty Surge	Telepathy	N/A	0	0	N/A
Cosmog	Undiscovered	N/A	Unaware	N/A	N/A	0	0	N/A
Cosmoem	Undiscovered	N/A	Sturdy	N/A	N/A	0	0	N/A
Solgaleo	Undiscovered	N/A	Full Metal Body	N/A	N/A	0	0	N/A
Lunala	Undiscovered	N/A	Shadow Shield	N/A	N/A	0	0	N/A
Nihilego	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Buzzwole	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Pheromosa	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Xurkitree	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Celesteela	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Kartana	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Guzzlord	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Necrozma	Undiscovered	N/A	Prism Armor	N/A	N/A	0	0	N/A
Magearna	Undiscovered	N/A	Soul-Heart	N/A	N/A	0	0	N/A
Marshadow	Undiscovered	N/A	Technician	N/A	N/A	0	0	N/A
Poipole	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Naganadel	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Stakataka	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Blacephalon	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0	N/A
Zeraora	Undiscovered	N/A	Volt Absorb	N/A	N/A	0	0	N/A
Meltan	Undiscovered	N/A	Magnet Pull	N/A	N/A	0	0	N/A
Melmetal	Undiscovered	N/A	Iron Fist	N/A	N/A	0	0	N/A
Grookey	Field	Grass	Overgrow	Grassy Surge	N/A	88.14	11.86	Grookey
Thwackey	Field	Grass	Overgrow	Grassy Surge	N/A	88.14	11.86	Grookey
Rillaboom	Field	Grass	Overgrow	Grassy Surge	N/A	88.14	11.86	Grookey
Scorbunny	Field	Human-Like	Blaze	Libero	N/A	88.14	11.86	Scorbunny
Raboot	Field	Human-Like	Blaze	Libero	N/A	88.14	11.86	Scorbunny
Cinderace	Field	Human-Like	Blaze	Libero	N/A	88.14	11.86	Scorbunny
Sobble	Water 1	Field	Torrent	Sniper	N/A	88.14	11.86	Sobble
Drizzile	Water 1	Field	Torrent	Sniper	N/A	88.14	11.86	Sobble
Inteleon	Water 1	Field	Torrent	Sniper	N/A	88.14	11.86	Sobble
Skwovet	Field	N/A	Cheek Pouch	Gluttony	N/A	50.2	49.8	Skwovet
Greedent	Field	N/A	Cheek Pouch	Gluttony	N/A	50.2	49.8	Skwovet
Rookidee	Flying	N/A	Keen Eye	Unnerve	Big Pecks	50.2	49.8	Rookidee
Corvisquire	Flying	N/A	Keen Eye	Unnerve	Big Pecks	50.2	49.8	Rookidee
Corviknight	Flying	N/A	Pressure	Unnerve	Mirror Armor	50.2	49.8	Rookidee
Blipbug	Bug	N/A	Swarm	Compoundeyes	Telepathy	50.2	49.8	Blipbug
Dottler	Bug	N/A	Swarm	Compoundeyes	Telepathy	50.2	49.8	Blipbug
Orbeetle	Bug	N/A	Swarm	Frisk	Telepathy	50.2	49.8	Blipbug
Nickit	Field	N/A	Run Away	Unburden	Stakeout	50.2	49.8	Nickit
Thievul	Field	N/A	Run Away	Unburden	Stakeout	50.2	49.8	Nickit
Gossifleur	Grass	N/A	Cotton Down	Regenerator	Effect Spore	50.2	49.8	Gossifleur
Eldegoss	Grass	N/A	Cotton Down	Regenerator	Effect Spore	50.2	49.8	Gossifleur
Wooloo	Field	N/A	Fluffy	Run Away	Bulletproof	50.2	49.8	Wooloo
Dubwool	Field	N/A	Fluffy	Steadfast	Bulletproof	50.2	49.8	Wooloo
Chewtle	Monster	Water 1	Strong Jaw	Shell Armor	Swift Swim	50.2	49.8	Chewtle
Drednaw	Monster	Water 1	Strong Jaw	Shell Armor	Swift Swim	50.2	49.8	Chewtle
Yamper	Field	N/A	Ball Fetch	Rattled	N/A	50.2	49.8	Yamper
Boltund	Field	N/A	Strong Jaw	Competitive	N/A	50.2	49.8	Yamper
Rolycoly	Mineral	N/A	Steam Engine	Heatproof	Flash Fire	50.2	49.8	Rolycoly
Carkol	Mineral	N/A	Steam Engine	Flame Body	Flash Fire	50.2	49.8	Rolycoly
Coalossal	Mineral	N/A	Steam Engine	Flame Body	Flash Fire	50.2	49.8	Rolycoly
Applin	Grass	Dragon	Ripen	Gluttony	Bulletproof	50.2	49.8	Applin
Flapple	Grass	Dragon	Ripen	Gluttony	Hustle	50.2	49.8	Applin
Appletun	Grass	Dragon	Ripen	Gluttony	Thick Fat	50.2	49.8	Applin
Silicobra	Field	Dragon	Sand Spit	Shed Skin	Sand Veil	50.2	49.8	Silicobra
Sandaconda	Field	Dragon	Sand Spit	Shed Skin	Sand Veil	50.2	49.8	Silicobra
Cramorant	Water 1	Flying	Gulp Missile	N/A	N/A	50.2	49.8	Cramorant
Arrokuda	Water 2	N/A	Swift Swim	Propeller Tail	N/A	50.2	49.8	Arrokuda
Barraskewda	Water 2	N/A	Swift Swim	Propeller Tail	N/A	50.2	49.8	Arrokuda
Toxel	Undiscovered	N/A	Rattled	Static	Klutz	50.2	49.8	N/A
Toxtricity	Human-Like	N/A	Punk Rock	Plus	Technician	50.2	49.8	Toxel
Sizzlipede	Bug	N/A	Flash Fire	White Smoke	Flame Body	50.2	49.8	Sizzlipede
Centiskorch	Bug	N/A	Flash Fire	White Smoke	Flame Body	50.2	49.8	Sizzlipede
Clobbopus	Water 1	Human-Like	Limber	Technician	N/A	50.2	49.8	Clobbopus
Grapploct	Water 1	Human-Like	Limber	Technician	N/A	50.2	49.8	Clobbopus
Sinistea	Mineral	Amorphous	Weak Armor	Cursed Body	N/A	0	0	Sinistea
Polteageist	Mineral	Amorphous	Weak Armor	Cursed Body	N/A	0	0	Sinistea
Hatenna	Fairy	N/A	Healer	Anticipation	Magic Bounce	0	100	Hatenna
Hattrem	Fairy	N/A	Healer	Anticipation	Magic Bounce	0	100	Hatenna
Hatterene	Fairy	N/A	Healer	Anticipation	Magic Bounce	0	100	Hatenna
Impidimp	Fairy	Human-Like	Prankster	Frisk	Pickpocket	100	0	Impidimp
Morgrem	Fairy	Human-Like	Prankster	Frisk	Pickpocket	100	0	Impidimp
Grimmsnarl	Fairy	Human-Like	Prankster	Frisk	Pickpocket	100	0	Impidimp
Obstagoon	Field	N/A	Reckless	Guts	Defiant	50.2	49.8	Zigzagoon
Perrserker	Field	N/A	Battle Armor	Tough Claws	Steely Spirit	50.2	49.8	Meowth
Cursola	Water 1	Water 3	Weak Armor	Perish Body	N/A	24.9	75.1	Corsola
Sirfetch'd	Flying	Field	Steadfast	Scrappy	N/A	50.2	49.8	Farfetch'd
Mr. Rime	Human-Like	N/A	Tangled Feet	Screen Cleaner	Ice Body	50.2	49.8	Mime Jr.+Mr. Mime
Runerigus	Mineral	Amorphous	Wandering Spirit	N/A	N/A	50.2	49.8	Yamask
Milcery	Fairy	Amorphous	Sweet Veil	Aroma Veil	N/A	0	100	Milcery
Alcremie	Fairy	Amorphous	Sweet Veil	Aroma Veil	N/A	0	100	Milcery
Falinks	Fairy	Mineral	Battle Armor	Defiant	N/A	0	0	Falinks
Pincurchin	Water 1	Amorphous	Lightning Rod	Electric Surge	N/A	50.2	49.8	Pincurchin
Snom	Bug	N/A	Shield Dust	Ice Scales	N/A	50.2	49.8	Snom
Frosmoth	Bug	N/A	Shield Dust	Ice Scales	N/A	50.2	49.8	Snom
Stonjourner	Mineral	N/A	Power Spot	N/A	N/A	50.2	49.8	Stonjourner
Eiscue	Water 1	Field	Ice Face	N/A	N/A	50.2	49.8	Eiscue
Indeedee	Fairy	N/A	Inner Focus	Synchronize	Psychic Surge	50.2	49.8	Indeedee
Morpeko	Field	Fairy	Hunger Switch	N/A	N/A	50.2	49.8	Morpeko
Cufant	Field	Mineral	Sheer Force	Heavy Metal	N/A	50.2	49.8	Cufant
Copperajah	Field	Mineral	Sheer Force	Heavy Metal	N/A	50.2	49.8	Cufant
Dracozolt	Undiscovered	N/A	Volt Absorb	Hustle	Sand Rush	0	0	N/A
Arctozolt	Undiscovered	N/A	Volt Absorb	Static	Slush Rush	0	0	N/A
Dracovish	Undiscovered	N/A	Water Absorb	Strong Jaw	Sand Rush	0	0	N/A
Arctovish	Undiscovered	N/A	Water Absorb	Ice Body	Slush Rush	0	0	N/A
Duraludon	Mineral	Dragon	Light Metal	Heavy Metal	Stalwart	50.2	49.8	Duraludon
Dreepy	Amorphous	Dragon	Clear Body	Infiltrator	Cursed Body	50.2	49.8	Dreepy
Drakloak	Amorphous	Dragon	Clear Body	Infiltrator	Cursed Body	50.2	49.8	Dreepy
Dragapult	Amorphous	Dragon	Clear Body	Infiltrator	Cursed Body	50.2	49.8	Dreepy
Zacian	Undiscovered	N/A	Intrepid Sword	N/A	N/A	0	0	N/A
Zamazenta	Undiscovered	N/A	Dauntless Shield	N/A	N/A	0	0	N/A
Eternatus	Undiscovered	N/A	Pressure	N/A	N/A	0	0	N/A
