Name	Egg Group 1	Egg Group 2	Ability 1	Ability 2	Hidden Ability	Male Ratio	Female Ratio
Bergmite	Monster	Mineral*	Own Tempo	Ice Body	Sturdy	50.2	49.8
Avalugg	Monster	Mineral*	Own Tempo	Ice Body	Sturdy	50.2	49.8
Noibat	Flying	Dragon*	Frisk	Infiltrator	Telepathy	50.2	49.8
Noivern	Flying	Dragon*	Frisk	Infiltrator	Telepathy	50.2	49.8
Xerneas	Undiscovered	N/A	Fairy Aura	N/A	N/A	0	0
Yveltal	Undiscovered	N/A	Dark Aura	N/A	N/A	0	0
Zygarde	Undiscovered	N/A	Aura Break	N/A	N/A	0	0
Diancie	Undiscovered	N/A	Clear Body	N/A	N/A	0	0
Hoopa	Undiscovered	N/A	Magician	N/A	N/A	0	0
Volcanion	Undiscovered	N/A	Water Absorb	N/A	N/A	0	0
Rowlet	Flying	N/A	Overgrow	Long Reach	N/A	88.14	11.86
Dartrix	Flying	N/A	Overgrow	Long Reach	N/A	88.14	11.86
Decidueye	Flying	N/A	Overgrow	Long Reach	N/A	88.14	11.86
Litten	Field	N/A	Blaze	Intimidate	N/A	88.14	11.86
Torracat	Field	N/A	Blaze	Intimidate	N/A	88.14	11.86
Incineroar	Field	N/A	Blaze	Intimidate	N/A	88.14	11.86
Popplio	Water 1	Field	Torrent	Liquid Voice	N/A	88.14	11.86
Brionne	Water 1	Field	Torrent	Liquid Voice	N/A	88.14	11.86
Primarina	Water 1	Field	Torrent	Liquid Voice	N/A	88.14	11.86
Pikipek	Flying	N/A	Keen Eye	Skill Link	Pickup	50.2	49.8
Trumbeak	Flying	N/A	Keen Eye	Skill Link	Pickup	50.2	49.8
Toucannon	Flying	N/A	Keen Eye	Skill Link	Sheer Force	50.2	49.8
Yungoos	Field	N/A	Stakeout	Strong Jaw	Adaptability	50.2	49.8
Gumshoos	Field	N/A	Stakeout	Strong Jaw	Adaptability	50.2	49.8
Grubbin	Bug	N/A	Swarm	N/A	N/A	50.2	49.8
Charjabug	Bug	N/A	Battery	N/A	N/A	50.2	49.8
Vikavolt	Bug	N/A	Levitate	N/A	N/A	50.2	49.8
Crabrawler	Water 3	N/A	Hyper Cutter	Iron Fist	Anger Point	50.2	49.8
Crabominable	Water 3	N/A	Hyper Cutter	Iron Fist	Anger Point	50.2	49.8
Oricorio	Flying	N/A	Dancer	N/A	N/A	24.9	75.1
Cutiefly	Bug	Fairy	Honey Gather	Shield Dust	Sweet Veil	50.2	49.8
Ribombee	Bug	Fairy	Honey Gather	Shield Dust	Sweet Veil	50.2	49.8
Rockruff	Field	N/A	Keen Eye	Vital Spirit	Steadfast	50.2	49.8
Lycanroc	Field	N/A	Keen Eye	Sand Rush	Steadfast	50.2	49.8
Wishiwashi	Water 2	N/A	Schooling	N/A	N/A	50.2	49.8
Mareanie	Water 1	N/A	Merciless	Limber	Regenerator	50.2	49.8
Toxapex	Water 1	N/A	Merciless	Limber	Regenerator	50.2	49.8
Mudbray	Field	N/A	Own Tempo	Stamina	Inner Focus	50.2	49.8
Mudsdale	Field	N/A	Own Tempo	Stamina	Inner Focus	50.2	49.8
Dewpider	Water 1	Bug	Water Bubble	Water Absorb	N/A	50.2	49.8
Araquanid	Water 1	Bug	Water Bubble	Water Absorb	N/A	50.2	49.8
Fomantis	Grass	N/A	Leaf Guard	Contrary	N/A	50.2	49.8
Lurantis	Grass	N/A	Leaf Guard	Contrary	N/A	50.2	49.8
Morelull	Grass	N/A	Illuminate	Effect Spore	Rain Dish	50.2	49.8
Shiinotic	Grass	N/A	Illuminate	Effect Spore	Rain Dish	50.2	49.8
Salandit	Monster	Dragon	Corrosion	Oblivious	N/A	88.14	11.86
Salazzle	Monster	Dragon	Corrosion	Oblivious	N/A	0	100
Stufful	Field	N/A	Fluffy	Klutz	Cute Charm	50.2	49.8
Bewear	Field	N/A	Fluffy	Klutz	Unnerve	50.2	49.8
Bounsweet	Grass	N/A	Leaf Guard	Oblivious	Sweet Veil	0	100
Steenee	Grass	N/A	Leaf Guard	Oblivious	Sweet Veil	0	100
Tsareena	Grass	N/A	Leaf Guard	Queenly Majesty	Sweet Veil	0	100
Comfey	Grass	N/A	Flower Veil	Triage	Natural Cure	24.9	75.1
Oranguru	Field	N/A	Inner Focus	Telepathy	Symbiosis	50.2	49.8
Passimian	Field	N/A	Receiver	Defiant	N/A	50.2	49.8
Wimpod	Bug	Water 3	Wimp Out	N/A	N/A	50.2	49.8
Golisopod	Bug	Water 3	Emergency Exit	N/A	N/A	50.2	49.8
Sandygast	Amorphous	N/A	Water Compaction	Sand Veil	N/A	50.2	49.8
Palossand	Amorphous	N/A	Water Compaction	Sand Veil	N/A	50.2	49.8
Pyukumuku	Water 1	N/A	Innards Out	Unaware	N/A	50.2	49.8
Type: Null	Undiscovered	N/A	Battle Armor	N/A	N/A	0	0
Silvally	Undiscovered	N/A	RKS System	N/A	N/A	0	0
Minior	Mineral	N/A	Shields Down	N/A	N/A	0	0
Komala	Field	N/A	Comatose	N/A	N/A	50.2	49.8
Turtonator	Monster	Dragon	Shell Armor	N/A	N/A	50.2	49.8
Togedemaru	Field	Fairy	Iron Barbs	Lightning Rod	Sturdy	50.2	49.8
Mimikyu	Amorphous	N/A	Disguise	N/A	N/A	50.2	49.8
Bruxish	Water 2	N/A	Dazzling	Strong Jaw	Wonder Skin	50.2	49.8
Drampa	Monster	Dragon	Berserk	Sap Sipper	Cloud Nine	50.2	49.8
Dhelmise	Mineral	N/A	Steelworker	N/A	N/A	0	0
Jangmo-o	Dragon	N/A	Bulletproof	Soundproof	Overcoat	50.2	49.8
Hakamo-o	Dragon	N/A	Bulletproof	Soundproof	Overcoat	50.2	49.8
Kommo-o	Dragon	N/A	Bulletproof	Soundproof	Overcoat	50.2	49.8
Tapu Koko	Undiscovered	N/A	Electric Surge	Telepathy	N/A	0	0
Tapu Lele	Undiscovered	N/A	Psychic Surge	Telepathy	N/A	0	0
Tapu Bulu	Undiscovered	N/A	Grassy Surge	Telepathy	N/A	0	0
Tapu Fini	Undiscovered	N/A	Misty Surge	Telepathy	N/A	0	0
Cosmog	Undiscovered	N/A	Unaware	N/A	N/A	0	0
Cosmoem	Undiscovered	N/A	Sturdy	N/A	N/A	0	0
Solgaleo	Undiscovered	N/A	Full Metal Body	N/A	N/A	0	0
Lunala	Undiscovered	N/A	Shadow Shield	N/A	N/A	0	0
Nihilego	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Buzzwole	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Pheromosa	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Xurkitree	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Celesteela	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Kartana	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Guzzlord	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Necrozma	Undiscovered	N/A	Prism Armor	N/A	N/A	0	0
Magearna	Undiscovered	N/A	Soul-Heart	N/A	N/A	0	0
Marshadow	Undiscovered	N/A	Technician	N/A	N/A	0	0
Poipole	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Naganadel	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Stakataka	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Blacephalon	Undiscovered	N/A	Beast Boost	N/A	N/A	0	0
Zeraora	Undiscovered	N/A	Volt Absorb	N/A	N/A	0	0
Meltan	Undiscovered	N/A	Magnet Pull	N/A	N/A	0	0
Melmetal	Undiscovered	N/A	Iron Fist	N/A	N/A	0	0
Grookey	Field	Grass	Overgrow	Grassy Surge	N/A	88.14	11.86
Thwackey	Field	Grass	Overgrow	Grassy Surge	N/A	88.14	11.86
Rillaboom	Field	Grass	Overgrow	Grassy Surge	N/A	88.14	11.86
Scorbunny	Field	Human-Like	Blaze	Libero	N/A	88.14	11.86
Raboot	Field	Human-Like	Blaze	Libero	N/A	88.14	11.86
Cinderace	Field	Human-Like	Blaze	Libero	N/A	88.14	11.86
Sobble	Water 1	Field	Torrent	Sniper	N/A	88.14	11.86
Drizzile	Water 1	Field	Torrent	Sniper	N/A	88.14	11.86
Inteleon	Water 1	Field	Torrent	Sniper	N/A	88.14	11.86
Skwovet	Field	N/A	Cheek Pouch	Gluttony	N/A	50.2	49.8
Greedent	Field	N/A	Cheek Pouch	Gluttony	N/A	50.2	49.8
Rookidee	Flying	N/A	Keen Eye	Unnerve	Big Pecks	50.2	49.8
Corvisquire	Flying	N/A	Keen Eye	Unnerve	Big Pecks	50.2	49.8
Corviknight	Flying	N/A	Pressure	Unnerve	Mirror Armor	50.2	49.8
Blipbug	Bug	N/A	Swarm	Compoundeyes	Telepathy	50.2	49.8
Dottler	Bug	N/A	Swarm	Compoundeyes	Telepathy	50.2	49.8
Orbeetle	Bug	N/A	Swarm	Frisk	Telepathy	50.2	49.8
Nickit	Field	N/A	Run Away	Unburden	Stakeout	50.2	49.8
Thievul	Field	N/A	Run Away	Unburden	Stakeout	50.2	49.8
Gossifleur	Grass	N/A	Cotton Down	Regenerator	Effect Spore	50.2	49.8
Eldegoss	Grass	N/A	Cotton Down	Regenerator	Effect Spore	50.2	49.8
Wooloo	Field	N/A	Fluffy	Run Away	Bulletproof	50.2	49.8
Dubwool	Field	N/A	Fluffy	Steadfast	Bulletproof	50.2	49.8
Chewtle	Monster	Water 1	Strong Jaw	Shell Armor	Swift Swim	50.2	49.8
Drednaw	Monster	Water 1	Strong Jaw	Shell Armor	Swift Swim	50.2	49.8
Yamper	Field	N/A	Ball Fetch	Rattled	N/A	50.2	49.8
Boltund	Field	N/A	Strong Jaw	Competitive	N/A	50.2	49.8
Rolycoly	Mineral	N/A	Steam Engine	Heatproof	Flash Fire	50.2	49.8
Carkol	Mineral	N/A	Steam Engine	Flame Body	Flash Fire	50.2	49.8
Coalossal	Mineral	N/A	Steam Engine	Flame Body	Flash Fire	50.2	49.8
Applin	Grass	Dragon	Ripen	Gluttony	Bulletproof	50.2	49.8
Flapple	Grass	Dragon	Ripen	Gluttony	Hustle	50.2	49.8
Appletun	Grass	Dragon	Ripen	Gluttony	Thick Fat	50.2	49.8
Silicobra	Field	Dragon	Sand Spit	Shed Skin	Sand Veil	50.2	49.8
Sandaconda	Field	Dragon	Sand Spit	Shed Skin	Sand Veil	50.2	49.8
Cramorant	Water 1	Flying	Gulp Missile	N/A	N/A	50.2	49.8
Arrokuda	Water 2	N/A	Swift Swim	Propeller Tail	N/A	50.2	49.8
Barraskewda	Water 2	N/A	Swift Swim	Propeller Tail	N/A	50.2	49.8
Toxel	Undiscovered	N/A	Rattled	Static	Klutz	50.2	49.8
Toxtricity	Human-Like	N/A	Punk Rock	Plus	Technician	50.2	49.8
Sizzlipede	Bug	N/A	Flash Fire	White Smoke	Flame Body	50.2	49.8
Centiskorch	Bug	N/A	Flash Fire	White Smoke	Flame Body	50.2	49.8
Clobbopus	Water 1	Human-Like	Limber	Technician	N/A	50.2	49.8
Grapploct	Water 1	Human-Like	Limber	Technician	N/A	50.2	49.8
Sinistea	Mineral	Amorphous	Weak Armor	Cursed Body	N/A	0	0
Polteageist	Mineral	Amorphous	Weak Armor	Cursed Body	N/A	0	0
Hatenna	Fairy	N/A	Healer	Anticipation	Magic Bounce	0	100
Hattrem	Fairy	N/A	Healer	Anticipation	Magic Bounce	0	100
Hatterene	Fairy	N/A	Healer	Anticipation	Magic Bounce	0	100
Impidimp	Fairy	Human-Like	Prankster	Frisk	Pickpocket	100	0
Morgrem	Fairy	Human-Like	Prankster	Frisk	Pickpocket	100	0
Grimmsnarl	Fairy	Human-Like	Prankster	Frisk	Pickpocket	100	0
Obstagoon	Field	N/A	Reckless	Guts	Defiant	50.2	49.8
Perrserker	Field	N/A	Battle Armor	Tough Claws	Steely Spirit	50.2	49.8
Cursola	Water 1	Water 3	Weak Armor	Perish Body	N/A	24.9	75.1
Sirfetch'd	Flying	Field	Steadfast	Scrappy	N/A	50.2	49.8
Mr. Rime	Human-Like	N/A	Tangled Feet	Screen Cleaner	Ice Body	50.2	49.8
Runerigus	Mineral	Amorphous	Wandering Spirit	N/A	N/A	50.2	49.8
Milcery	Fairy	Amorphous	Sweet Veil	Aroma Veil	N/A	0	100
Alcremie	Fairy	Amorphous	Sweet Veil	Aroma Veil	N/A	0	100
Falinks	Fairy	Mineral	Battle Armor	Defiant	N/A	0	0
Pincurchin	Water 1	Amorphous	Lightning Rod	Electric Surge	N/A	50.2	49.8
Snom	Bug	N/A	Shield Dust	Ice Scales	N/A	50.2	49.8
Frosmoth	Bug	N/A	Shield Dust	Ice Scales	N/A	50.2	49.8
Stonjourner	Mineral	N/A	Power Spot	N/A	N/A	50.2	49.8
Eiscue	Water 1	Field	Ice Face	N/A	N/A	50.2	49.8
Indeedee	Fairy	N/A	Inner Focus	Synchronize	Psychic Surge	50.2	49.8
Morpeko	Field	Fairy	Hunger Switch	N/A	N/A	50.2	49.8
Cufant	Field	Mineral	Sheer Force	Heavy Metal	N/A	50.2	49.8
Copperajah	Field	Mineral	Sheer Force	Heavy Metal	N/A	50.2	49.8
Dracozolt	Undiscovered	N/A	Volt Absorb	Hustle	Sand Rush	0	0
Arctozolt	Undiscovered	N/A	Volt Absorb	Static	Slush Rush	0	0
Dracovish	Undiscovered	N/A	Water Absorb	Strong Jaw	Sand Rush	0	0
Arctovish	Undiscovered	N/A	Water Absorb	Ice Body	Slush Rush	0	0
Duraludon	Mineral	Dragon	Light Metal	Heavy Metal	Stalwart	50.2	49.8
Dreepy	Amorphous	Dragon	Clear Body	Infiltrator	Cursed Body	50.2	49.8
Drakloak	Amorphous	Dragon	Clear Body	Infiltrator	Cursed Body	50.2	49.8
Dragapult	Amorphous	Dragon	Clear Body	Infiltrator	Cursed Body	50.2	49.8
Zacian	Undiscovered	N/A	Intrepid Sword	N/A	N/A	0	0
Zamazenta	Undiscovered	N/A	Dauntless Shield	N/A	N/A	0	0
Eternatus	Undiscovered	N/A	Pressure	N/A	N/A	0	0
